Time (s),Voltage (V)
1.299999999999999940e-02,5.633902820307172821e-01
1.303999999999999951e-02,5.405270767939287513e-01
1.307999999999999961e-02,5.170133423010326856e-01
1.311999999999999972e-02,4.930314578197831921e-01
1.315999999999999982e-02,4.687914493137934624e-01
1.319999999999999993e-02,4.445297376057973926e-01
1.324000000000000003e-02,4.205063718803777051e-01
1.328000000000000014e-02,3.970008317930553976e-01
1.332000000000000024e-02,3.743065562600986218e-01
1.336000000000000035e-02,3.527244227608366534e-01
1.340000000000000045e-02,3.325554544218357611e-01
1.344000000000000056e-02,3.140930707079758188e-01
1.348000000000000066e-02,2.976152194865929745e-01
1.352000000000000077e-02,2.833767327294411387e-01
1.355999999999999914e-02,2.716022352758131753e-01
1.359999999999999924e-02,2.624799069076272362e-01
1.363999999999999935e-02,2.561563543270179988e-01
1.367999999999999945e-02,2.527327940419636376e-01
1.371999999999999956e-02,2.522626827874425159e-01
1.375999999999999966e-02,2.547508624608371131e-01
1.379999999999999977e-02,2.601542153483369368e-01
1.383999999999999987e-02,2.683837563751139133e-01
1.387999999999999998e-02,2.793080257338023675e-01
1.392000000000000008e-02,2.927575906557365881e-01
1.396000000000000019e-02,3.085304218672118570e-01
1.400000000000000029e-02,3.263978803310290111e-01
1.404000000000000040e-02,3.461110343704044134e-01
1.408000000000000050e-02,3.674070265692789272e-01
1.412000000000000061e-02,3.900152235041956517e-01
1.416000000000000071e-02,4.136629081982908240e-01
1.420000000000000082e-02,4.380803133362853319e-01
1.423999999999999919e-02,4.630048403253952394e-01
1.427999999999999929e-02,4.881843624058271325e-01
1.431999999999999940e-02,5.133795661346092221e-01
1.435999999999999950e-02,5.383653415428690803e-01
1.439999999999999961e-02,5.629312840531897066e-01
1.443999999999999971e-02,5.868814180563713956e-01
1.447999999999999982e-02,6.100332905088405866e-01
1.451999999999999992e-02,6.322166111724530912e-01
1.456000000000000003e-02,6.532716329408078115e-01
1.460000000000000013e-02,6.730474705094949828e-01
1.464000000000000024e-02,6.914005485609376889e-01
1.468000000000000034e-02,7.081933524129726543e-01
1.472000000000000045e-02,7.232936260866617006e-01
1.476000000000000055e-02,7.365741268523121610e-01
1.480000000000000066e-02,7.479130037729518898e-01
1.484000000000000076e-02,7.571948230965188653e-01
1.488000000000000086e-02,7.643122181759960387e-01
1.491999999999999924e-02,7.691680985057666176e-01
1.495999999999999934e-02,7.716783138557109512e-01
1.499999999999999944e-02,7.717746374539389276e-01
1.503999999999999955e-02,7.694079083865541513e-01
1.507999999999999965e-02,7.645511590175148031e-01
1.511999999999999976e-02,7.572025488969683638e-01
1.515999999999999986e-02,7.473879323596079871e-01
1.519999999999999997e-02,7.351629022889423215e-01
1.524000000000000007e-02,7.206141762916782323e-01
1.528000000000000018e-02,7.038602222928046492e-01
1.532000000000000028e-02,6.850510564769372035e-01
1.536000000000000039e-02,6.643671854749940708e-01
1.540000000000000049e-02,6.420177045204092936e-01
1.544000000000000060e-02,6.182376017796589185e-01
1.548000000000000070e-02,5.932843541363467255e-01
1.552000000000000081e-02,5.674339295629468038e-01
1.555999999999999918e-02,5.409763343808008385e-01
1.559999999999999928e-02,5.142108591378719007e-01
1.564000000000000112e-02,4.874411839445263461e-01
1.567999999999999949e-02,4.609705028094835400e-01
1.572000000000000133e-02,4.350968172026517533e-01
1.575999999999999970e-02,4.101085325777006352e-01
1.580000000000000154e-02,3.862804691408563418e-01
1.583999999999999991e-02,3.638703712852326411e-01
1.587999999999999828e-02,3.431159705621381062e-01
1.592000000000000012e-02,3.242326266731150319e-01
1.595999999999999849e-02,3.074115415694816389e-01
1.600000000000000033e-02,2.928185150513412105e-01
1.603999999999999870e-02,2.805931877584553202e-01
1.608000000000000054e-02,2.708487003309071883e-01
1.611999999999999891e-02,2.636716866093289924e-01
1.616000000000000075e-02,2.591225144529719082e-01
1.619999999999999912e-02,2.572356900612065567e-01
1.624000000000000096e-02,2.580203501528189336e-01
1.627999999999999933e-02,2.614607801645772445e-01
1.632000000000000117e-02,2.675169146235731321e-01
1.635999999999999954e-02,2.761247966208182358e-01
1.640000000000000138e-02,2.871969952973610907e-01
1.643999999999999975e-02,3.006230018159596340e-01
1.648000000000000159e-02,3.162696438373092112e-01
1.651999999999999996e-02,3.339815745950134862e-01
1.655999999999999833e-02,3.535819040428263560e-01
1.660000000000000017e-02,3.748730453127957496e-01
1.663999999999999854e-02,3.976378493203793774e-01
1.668000000000000038e-02,4.216410936299742063e-01
1.671999999999999875e-02,4.466313789121549860e-01
1.676000000000000059e-02,4.723434681427019499e-01
1.679999999999999896e-02,4.985010811363784766e-01
1.684000000000000080e-02,5.248201314018897667e-01
1.687999999999999917e-02,5.510123652004934591e-01
1.692000000000000101e-02,5.767893357746083360e-01
1.695999999999999938e-02,6.018666207021594605e-01
1.700000000000000122e-02,6.259681688735462268e-01
1.703999999999999959e-02,6.488306471549263321e-01
1.708000000000000143e-02,6.702076466039890157e-01
1.711999999999999980e-02,6.898736050110048090e-01
1.716000000000000164e-02,7.076273070176637425e-01
1.720000000000000001e-02,7.232948351525215758e-01
1.723999999999999838e-02,7.367318644022470275e-01
1.728000000000000022e-02,7.478252185686868891e-01
1.731999999999999859e-02,7.564936374086661530e-01
1.736000000000000043e-02,7.626877378548865272e-01
1.739999999999999880e-02,7.663891886668483533e-01
1.744000000000000064e-02,7.676091537100313555e-01
1.747999999999999901e-02,7.663860927229331210e-01
1.752000000000000085e-02,7.627830379946589634e-01
1.755999999999999922e-02,7.568844891168718947e-01
1.760000000000000106e-02,7.487930844574890443e-01
1.763999999999999943e-02,7.386262161691151684e-01
1.768000000000000127e-02,7.265127547750002135e-01
1.771999999999999964e-02,7.125900395376028040e-01
1.776000000000000148e-02,6.970012722814041828e-01
1.779999999999999985e-02,6.798934259767744903e-01
1.784000000000000169e-02,6.614157465142014303e-01
1.788000000000000006e-02,6.417188884166169505e-01
1.791999999999999843e-02,6.209546847633148348e-01
1.796000000000000027e-02,5.992765105406567816e-01
1.799999999999999864e-02,5.768401592801045696e-01
1.804000000000000048e-02,5.538051174349846173e-01
1.807999999999999885e-02,5.303360915555678234e-01
1.812000000000000069e-02,5.066046217319691847e-01
1.815999999999999906e-02,4.827906023794398260e-01
1.820000000000000090e-02,4.590835291594731471e-01
1.823999999999999927e-02,4.356832990469583500e-01
1.828000000000000111e-02,4.128004090869198950e-01
1.831999999999999948e-02,3.906554274858822229e-01
1.836000000000000132e-02,3.694776470672193613e-01
1.839999999999999969e-02,3.495028740237980935e-01
1.844000000000000153e-02,3.309703521701199969e-01
1.847999999999999990e-02,3.141188720925716105e-01
1.851999999999999827e-02,2.991821631260541681e-01
1.856000000000000011e-02,2.863837113335762075e-01
1.859999999999999848e-02,2.759311861370004060e-01
1.864000000000000032e-02,2.680106897016391598e-01
1.867999999999999869e-02,2.627810647532194954e-01
1.872000000000000053e-02,2.603685068258594915e-01
1.875999999999999890e-02,2.608617251929317149e-01
1.880000000000000074e-02,2.643078827259731645e-01
1.883999999999999911e-02,2.707095191053132122e-01
1.888000000000000095e-02,2.800226252395406901e-01
1.891999999999999932e-02,2.921559910864517939e-01
1.896000000000000116e-02,3.069718964517799686e-01
1.899999999999999953e-02,3.242881573126998318e-01
1.904000000000000137e-02,3.438814815742439190e-01
1.907999999999999974e-02,3.654920308422846542e-01
1.912000000000000158e-02,3.888290316788881595e-01
1.915999999999999995e-02,4.135772336029427398e-01
1.919999999999999832e-02,4.394039741911019981e-01
1.924000000000000016e-02,4.659665859445951130e-01
1.927999999999999853e-02,4.929198664773971061e-01
1.932000000000000037e-02,5.199233337723873083e-01
1.935999999999999874e-02,5.466480017833321714e-01
1.940000000000000058e-02,5.727824378798245242e-01
1.943999999999999895e-02,5.980379012256954452e-01
1.948000000000000079e-02,6.221524082370500919e-01
1.951999999999999916e-02,6.448936253709225408e-01
1.956000000000000100e-02,6.660605478594943119e-01
1.959999999999999937e-02,6.854839826059105912e-01
1.964000000000000121e-02,7.030259112010002198e-01
1.967999999999999958e-02,7.185778619015104063e-01
1.972000000000000142e-02,7.320584646769401349e-01
1.975999999999999979e-02,7.434103987299049976e-01
1.980000000000000163e-02,7.525969653974967644e-01
1.984000000000000000e-02,7.595985298486938042e-01
1.987999999999999837e-02,7.644090720006564421e-01
1.992000000000000021e-02,7.670330708046734225e-01
1.995999999999999858e-02,7.674829174372321816e-01
2.000000000000000042e-02,7.657770135791505117e-01
2.003999999999999879e-02,7.619386630676939776e-01
2.008000000000000063e-02,7.559958114249030192e-01
2.011999999999999900e-02,7.479816310896226783e-01
2.016000000000000084e-02,7.379358937678728303e-01
2.019999999999999921e-02,7.259070183194114012e-01
2.024000000000000105e-02,7.119546359954260772e-01
2.027999999999999942e-02,6.961524772721577881e-01
2.032000000000000126e-02,6.785913581420869312e-01
2.035999999999999963e-02,6.593820300768201692e-01
2.040000000000000147e-02,6.386576578191131004e-01
2.043999999999999984e-02,6.165757028058234113e-01
2.048000000000000168e-02,5.933190167238965307e-01
2.052000000000000005e-02,5.690959880876608201e-01
2.055999999999999842e-02,5.441396327732314075e-01
2.060000000000000026e-02,5.187055745824381559e-01
2.063999999999999863e-02,4.930689211519634352e-01
2.068000000000000047e-02,4.675201006417150640e-01
2.071999999999999884e-02,4.423597823249272865e-01
2.076000000000000068e-02,4.178930562639076585e-01
2.079999999999999905e-02,3.944230907768558891e-01
2.084000000000000088e-02,3.722445189163340884e-01
2.087999999999999926e-02,3.516368248076037206e-01
2.092000000000000109e-02,3.328580062468757261e-01
2.095999999999999946e-02,3.161387810104779872e-01
2.100000000000000130e-02,3.016775812429695613e-01
2.103999999999999967e-02,2.896365442197301743e-01
2.108000000000000151e-02,2.801386605818593778e-01
2.111999999999999988e-02,2.732661853050700196e-01
2.116000000000000172e-02,2.690603551661354120e-01
2.120000000000000009e-02,2.675223926160488763e-01
2.123999999999999846e-02,2.686157132133814573e-01
2.128000000000000030e-02,2.722691955292154686e-01
2.131999999999999867e-02,2.783813218925832444e-01
2.136000000000000051e-02,2.868249582825071475e-01
2.139999999999999888e-02,2.974525143071295452e-01
2.144000000000000072e-02,3.101012110710386627e-01
2.147999999999999909e-02,3.245981865699448798e-01
2.152000000000000093e-02,3.407651849940154243e-01
2.155999999999999930e-02,3.584226070680212040e-01
2.160000000000000114e-02,3.773927416266828483e-01
2.163999999999999951e-02,3.975020516417865912e-01
2.168000000000000135e-02,4.185824479410888421e-01
2.171999999999999972e-02,4.404715475369187505e-01
2.176000000000000156e-02,4.630119772388835986e-01
2.179999999999999993e-02,4.860498434559398784e-01
2.183999999999999830e-02,5.094325423657533047e-01
2.188000000000000014e-02,5.330061278744461228e-01
2.191999999999999851e-02,5.566124854749011641e-01
2.196000000000000035e-02,5.800865763853654267e-01
2.199999999999999872e-02,6.032540171502218662e-01
2.204000000000000056e-02,6.259292450041201716e-01
2.207999999999999893e-02,6.479144894048101122e-01
2.212000000000000077e-02,6.689997267378243739e-01
2.215999999999999914e-02,6.889637405628927791e-01
2.220000000000000098e-02,7.075763468297990855e-01
2.223999999999999935e-02,7.246017756528508880e-01
2.228000000000000119e-02,7.398031322167727408e-01
2.231999999999999956e-02,7.529477930140621167e-01
2.236000000000000140e-02,7.638135335991831365e-01
2.239999999999999977e-02,7.721951337901943324e-01
2.244000000000000161e-02,7.779111686528873415e-01
2.247999999999999998e-02,7.808106708996690459e-01
2.251999999999999835e-02,7.807793439650115852e-01
2.256000000000000019e-02,7.777450155423787370e-01
2.259999999999999856e-02,7.716820484294273363e-01
2.264000000000000040e-02,7.626144678717123870e-01
2.267999999999999877e-02,7.506176201229235456e-01
2.272000000000000061e-02,7.358182428244749440e-01
2.275999999999999898e-02,7.183929006414024876e-01
2.280000000000000082e-02,6.985648155702963713e-01
2.283999999999999919e-02,6.765991964621259624e-01
2.288000000000000103e-02,6.527972426079925450e-01
2.291999999999999940e-02,6.274890579913490196e-01
2.296000000000000124e-02,6.010257627357030730e-01
2.299999999999999961e-02,5.737711237199434322e-01
2.304000000000000145e-02,5.460930454169168335e-01
2.307999999999999982e-02,5.183552637375331562e-01
2.312000000000000166e-02,4.909095699721567341e-01
2.316000000000000003e-02,4.640888596954803602e-01
2.319999999999999840e-02,4.382012545187363717e-01
